"TODO clean up and move to .po";""
"A module providing various algorithms to determine relationships. May be used to replace the 'Relationships' charts module, and the 'Families' tab module.";"Ein Modul zur Berechnung von verwandschaftlichen Beziehungen und anderen Verbindungen. Kann als Ersatz für das 'Beziehungen'-Diagramm sowie als Ersatz für den 'Familien'-Reiter verwendet werden."
"Chart Settings";"Einstellungen für das Diagramm"
"If you only want to use the extended tab, hide this chart via Modules > Chart > Families (note that the chart is listed under the module name).";"Wenn Sie nur den erweiterten Reiter verwenden möchten, verstecken Sie dieses Diagramm via Module > Diagramme > Familien (Achtung: Das Diagramm ist unter dem Modulnamen aufgeführt)."
"Options to show in the chart";"Im Diagramm auswählbare Optionen"
"Tab Settings";"Einstellungen für den Reiter"
"If you only want to use the extended chart, hide this tab via Modules > Tabs > Families (refer to description to distinguish from original tab).";"Wenn Sie nur das erweiterte Diagramm verwenden möchten, verstecken Sie diesen Reiter via Module > Reiter > Familien (Die Beschreibung dort hilft zur Unterscheidung vom Original-Reiter)."
"How to determine relationships to the default individual";"Beziehung zur Voreingestellten Startperson"
"How to determine relationships between parents";"Beziehungen zwischen den Eltern"
"How to determine relationships to spouses";"Beziehungen zu den Ehegatten"
"Do not show any relationship";"Keine Beziehung anzeigen"
"Show common ancestors";"Gemeinsame Vorfahren anzeigen"
"The preferences for the custom module “%s” have been updated.";"Die Einstellungen für das 	Benutzerdefinierte Modul “%s” wurden aktualisiert."
"Determines the shortest path between two individuals via a LCA (lowest common ancestor), i.e. a common ancestor who only appears on the path once.";"Die kürzeste Verbindung zwischen zwei Personen über einen KGV (Kleinster Gemeinsamer Vorfahr), also einen gemeinsamen Vorfahren, der im Beziehungspfad nur einmal auftaucht."
"Each SLCA (smallest lowest common ancestor) essentially represents a part of the tree which both individuals share (as part of their ancestors). More technically, the SLCA set of two individuals is a subset of the LCA set (excluding all LCAs that are themselves ancestors of other LCAs).";"Jeder NKGV (Niedrigster Kleinster Gemeinsame Vorfahr) repräsentiert einen Teilbaum, welchen beide Personen als Teilmenge ihrer Vorfahren teilen. Spezifischer ausgedrückt ist die Menge der NKGV zweier Personen eine Teilmenge der Menge ihrer KGV (und zwar ohne jene KGV, die selbst wiederum Vorfahren anderer KGVs sind)."
"All paths between the two individuals that contribute to the CoR (Coefficient of Relationship), as defined here:";"Alle Beziehungspfade zwischen zwei Personen, die in die Berechnung des CoR (Verwandtschafts-Koeffizient) eingehen. Definition siehe hier:"
"Prefers partial paths via common ancestors, even if there is no direct common ancestor.";"Berechnung eines Pfades bevorzugt über gemeinsame Vorfahren für alle Teile des Pfades."
"For close relationships similar to the previous option, but faster. Internally just a combination of two other methods.";"Für nahe Beziehungen ähnlich der vorhergehenden Option, aber schneller in der Berechnung. Kombiniert zwei andere Berechnungsmethoden."
"Same option as in the original relationship chart.";"Die gleiche Option wie im ursprünglichen 'Beziehungen'-Diagramm."
"Same option as in the original relationship chart, further configurable via recursion level:";"Die gleiche Option wie im ursprünglichen 'Beziehungen'-Diagramm. Wie dort zusätzlich konfigurierbar:"
"The following options refer to the same algorithms as used in the extended relationships chart:";"Die folgenden Optionen beziehen sich auf die Berechnungsverfahren, wie sie im erweiterten 'Beziehungen'-Diagramm verwendet werden:"
"Searching for overall connections is not included here because there is always a trivial HUSB - WIFE connection.";"Die Optionen für andere Verbindungen sind hier nicht verfügbar, weil es immer die triviale HUSB - WIFE Verbindung gibt."
